loss,accuracy,val_loss,val_accuracy,val_TN,val_FP,val_FN,val_TP,epoch
0.03623713552951813,0.9957504272460938,0.02613397315144539,0.9959957599639893,12188,0,49,0,1
0.027374759316444397,0.9958321452140808,0.026643911376595497,0.9959957599639893,12188,0,49,0,2
0.027567200362682343,0.9958321452140808,0.02614862099289894,0.9959957599639893,12188,0,49,0,3
0.027518996968865395,0.9958321452140808,0.02625183016061783,0.9959957599639893,12188,0,49,0,4
0.027640435844659805,0.9958321452140808,0.02608095481991768,0.9959957599639893,12188,0,49,0,5
0.027347804978489876,0.9958321452140808,0.026905937120318413,0.9959957599639893,12188,0,49,0,6
0.02747262455523014,0.9958321452140808,0.02606811188161373,0.9959957599639893,12188,0,49,0,7
0.027250686660408974,0.9958321452140808,0.02605818584561348,0.9959957599639893,12188,0,49,0,8
0.02726239338517189,0.9958321452140808,0.026051893830299377,0.9959957599639893,12188,0,49,0,9
0.02748730033636093,0.9958321452140808,0.026338942348957062,0.9959957599639893,12188,0,49,0,10
0.027383940294384956,0.9958321452140808,0.026033317670226097,0.9959957599639893,12188,0,49,0,11
