epoch,loss,accuracy,val_loss,val_accuracy
1,0.4946,0.8082,0.4826,0.8149
2,0.4899,0.8082,0.4803,0.8149
3,0.4909,0.8091,0.4909,0.8149
4,0.487,0.8097,0.479,0.8149
5,0.4879,0.8094,0.4806,0.8149
6,0.4879,0.8094,0.4788,0.8149
7,0.4762,0.8171,0.475,0.8181
8,0.4756,0.8137,0.4601,0.8149
9,0.5085,0.8047,0.4725,0.8149
10,0.481,0.8094,0.4581,0.8149
11,0.3061,0.8845,0.1512,0.9543
12,0.1193,0.9657,0.1273,0.968
13,0.0564,0.9842,0.041,0.9862
14,0.0396,0.9884,0.0288,0.9909
15,0.0327,0.9901,0.0227,0.9931
16,0.0265,0.9921,0.0193,0.9935
17,0.0226,0.9929,0.0212,0.9949
18,0.0325,0.9898,0.0186,0.9935
19,0.019,0.9941,0.0229,0.9932
20,0.1305,0.9611,0.1122,0.9639
21,0.0974,0.9719,0.0688,0.9802
22,0.0782,0.9775,0.0561,0.9831
23,0.0583,0.9826,0.0456,0.9866
24,0.0469,0.9858,0.0338,0.9895
25,0.0404,0.9869,0.0814,0.9792
26,0.0322,0.9896,0.0192,0.9933
