,loss,accuracy,val_loss,val_accuracy,val_TN,val_FP,val_FN,val_TP,epoch,tpr,far,precision,F1
0,0.4554688334465027,0.8123088479042053,0.3397767543792724,0.8165818452835083,29307,1,6596,63,1,0.009460880012013817,3.412037668895865e-05,0.984375,0.018741633199464525
1,0.0955142304301261,0.9712506532669068,0.0571223273873329,0.9854866862297058,29278,30,492,6167,2,0.9261150322871302,0.0010236113006687594,0.9951589478780055,0.9593963907902925
2,0.0561086945235729,0.9851456880569458,0.0675744265317916,0.9822615385055542,29292,16,622,6037,3,0.906592581468689,0.0005459260270233384,0.9973566826367091,0.9498112020138453
3,0.0532261095941066,0.985819935798645,0.0412324853241443,0.9876553416252136,29205,103,341,6318,4,0.9487911097762427,0.0035143987989627408,0.9839588849088927,0.9660550458715597
4,0.0437780357897281,0.9873630404472352,0.0272709783166646,0.9910473227500916,29244,64,258,6401,5,0.9612554437603243,0.0021837041080933536,0.9901005413766435,0.9754647973178909
5,0.0480605512857437,0.9859172701835632,0.0428215414285659,0.9862930178642272,29066,242,251,6408,6,0.9623066526505482,0.008257131158727992,0.963609022556391,0.9629573972499813
6,0.0294096563011407,0.990776002407074,0.0262143928557634,0.9930492043495178,29284,24,226,6433,7,0.966060970115633,0.0008188890405350075,0.9962831036084869,0.9809393107654772
7,0.0213037468492984,0.993535578250885,0.0146642280742526,0.9948285818099976,29159,149,37,6622,8,0.9944436101516744,0.005083936126654838,0.9779943878304534,0.9861504095309009
8,0.0172109548002481,0.9948493242263794,0.0082424571737647,0.9976089000701904,29265,43,43,6616,9,0.9935425739600541,0.0014671761976252217,0.9935425739600541,0.9935425739600541
9,0.0151200760155916,0.9954818487167358,0.0099543742835521,0.9973865151405334,29291,17,77,6582,10,0.9884367022075387,0.000580046403712297,0.9974238520988028,0.9929099411675969
10,0.0119195906445384,0.9964619278907776,0.0109584890305995,0.9978035688400269,29278,30,49,6610,11,0.9926415377684337,0.0010236113006687594,0.9954819277108434,0.994059703737123
11,0.0135606694966554,0.996121346950531,0.0055157230235636,0.9984430074691772,29285,23,33,6626,12,0.995044300946088,0.0007847686638460489,0.9965408332080012,0.9957920048091373
12,0.0095048481598496,0.9972265362739564,0.0113798771053552,0.9967747926712036,29223,85,31,6628,13,0.9953446463432948,0.002900232018561485,0.9873380008937882,0.9913251570445707
13,0.008838371373713,0.9974698424339294,0.0052046012133359,0.9986932277679444,29279,29,18,6641,14,0.9972968914251389,0.0009894909239798006,0.9956521739130435,0.9964738540025508
14,0.0141810793429613,0.995162069797516,0.2246965914964676,0.926237940788269,29149,159,2494,4165,15,0.6254692896831356,0.005425139893544425,0.9632284921369103,0.7584448693435311
15,0.0444830432534217,0.9860562682151794,0.0102366646751761,0.9967470169067384,29260,48,69,6590,16,0.9896380837963659,0.001637778081070015,0.9927689062970775,0.991201022787095
16,0.0102761480957269,0.9969484806060792,0.0081884125247597,0.997330904006958,29237,71,25,6634,17,0.9962456825349152,0.002422546744916064,0.9894108873974646,0.9928165219994014
17,0.0078957313671708,0.9977270364761353,0.005854626186192,0.9984708428382874,29282,26,29,6630,18,0.9956449917405016,0.0008871297939129248,0.99609375,0.9958693203154336
18,0.0073920148424804,0.9979702830314636,0.0056505636312067,0.9984708428382874,29292,16,39,6620,19,0.9941432647544677,0.0005459260270233384,0.997588908981314,0.9958631064309892
19,0.0070599215105175,0.9980815052986144,0.0071280533447861,0.9978313446044922,29259,49,29,6630,20,0.9956449917405016,0.0016718984577589737,0.9926635723910765,0.9941520467836258
20,0.006993896793574,0.9979702830314636,0.005221068393439,0.9984986186027528,29300,8,46,6613,21,0.9930920558642439,0.0002729630135116692,0.9987917233046367,0.995933734939759
21,0.0063892574980854,0.9981232285499572,0.0053689698688685,0.9984986186027528,29285,23,33,6626,22,0.995044300946088,0.0007847686638460489,0.9965408332080012,0.9957920048091373
