loss,accuracy,val_loss,val_accuracy,val_TN,val_FP,val_FN,val_TP,epoch
0.4952014088630676,0.8082216382026672,0.47915536165237427,0.814858078956604,29308,0,6659,0,1
0.48869115114212036,0.8094033002853394,0.4790955185890198,0.814858078956604,29308,0,6659,0,2
0.48810330033302307,0.8094033002853394,0.4785213768482208,0.814858078956604,29308,0,6659,0,3
0.48784899711608887,0.8094033002853394,0.47802096605300903,0.814858078956604,29308,0,6659,0,4
0.48729681968688965,0.8088542222976685,0.4780411124229431,0.814858078956604,29308,0,6659,0,5
,0.8094033002853394,,0.814858078956604,29308,0,6659,0,6
,0.8094033002853394,,0.814858078956604,29308,0,6659,0,7
,0.8094033002853394,,0.814858078956604,29308,0,6659,0,8
,0.8094033002853394,,0.814858078956604,29308,0,6659,0,9
,0.8094033002853394,,0.814858078956604,29308,0,6659,0,10
,0.8094033002853394,,0.814858078956604,29308,0,6659,0,11
,0.8094033002853394,,0.814858078956604,29308,0,6659,0,12
,0.8094033002853394,,0.814858078956604,29308,0,6659,0,13
,0.8094033002853394,,0.814858078956604,29308,0,6659,0,14
