epoch,loss,accuracy,val_loss,val_accuracy
1,0.4132,0.8365,0.0745,0.9849
2,0.4263,0.8509,0.4795,0.8149
3,0.4953,0.8092,0.4788,0.8149
4,0.4883,0.8094,0.4813,0.8149
5,0.4869,0.8094,0.4787,0.8149
6,0.4873,0.8094,0.4766,0.8149
7,0.4921,0.8093,0.4783,0.8149
8,0.4882,0.8094,0.4776,0.8149
9,0.4863,0.8094,0.4762,0.8149
10,0.4841,0.8094,0.4699,0.8149
11,0.4517,0.8146,0.4332,0.8149
12,0.222,0.9165,0.0776,0.9764
13,0.0733,0.9795,0.0527,0.9837
14,0.0572,0.9828,0.0548,0.9838
15,0.0552,0.9834,0.0543,0.9846
16,0.0544,0.9848,0.0368,0.9879
17,0.0403,0.9875,0.027,0.9901
18,0.0322,0.9896,0.0302,0.9902
19,0.023,0.9924,0.0386,0.9884
